year,agency_code,subgroup,Count,count_masked,den,den_masked,pct,pct_masked,masking,Column,Column2,Column3,Column4,Column5,Column6,Column7
2019,010303,ALL,1,1,223,223,0.0044,0.0044,,,,,,,,
2019,010304,ALL,48,48,605,605,0.0793,0.0793,,,,,,,,
2019,010308,ALL,85,85,613,613,0.1386,0.1386,,,,,,,,
2019,010310,ALL,200,200,758,758,0.2638,0.2638,,,,,,,,
2019,010312,ALL,111,111,734,734,0.1512,0.1512,,,,,,,,
2019,010320,ALL,44,44,370,370,0.1189,0.1189,,,,,,,,
2019,010324,ALL,348,348,1191,1191,0.2921,0.2921,,,,,,,,
2019,010326,ALL,152,152,592,592,0.2567,0.2567,,,,,,,,
2019,010328,ALL,60,60,536,536,0.1119,0.1119,,,,,,,,
2019,010340,ALL,105,105,727,727,0.1444,0.1444,,,,,,,,
2019,010346,ALL,54,54,377,377,0.1432,0.1432,,,,,,,,
2019,010347,ALL,97,97,609,609,0.1592,0.1592,,,,,,,,
2019,010348,ALL,253,253,734,734,0.3446,0.3446,,,,,,,,
2019,010350,ALL,195,195,701,701,0.2781,0.2781,,,,,,,,
2019,010351,ALL,94,94,462,462,0.2034,0.2034,,,,,,,,
2019,010353,ALL,156,156,676,676,0.2307,0.2307,,,,,,,,
2019,010354,ALL,112,112,621,621,0.1803,0.1803,,,,,,,,
2019,010357,ALL,88,88,480,480,0.1833,0.1833,,,,,,,,
2019,010358,ALL,118,118,590,590,0.2,0.2,,,,,,,,
2019,010360,ALL,455,455,932,932,0.4881,0.4881,,,,,,,,
2019,010362,ALL,53,53,521,521,0.1017,0.1017,,,,,,,,
2019,010364,ALL,70,70,353,353,0.1983,0.1983,,,,,,,,
2019,010372,ALL,82,82,315,315,0.2603,0.2603,,,,,,,,
2019,010374,ALL,59,59,561,561,0.1051,0.1051,,,,,,,,
2019,010378,ALL,52,52,91,91,0.5714,0.5714,,,,,,,,
2019,010380,ALL,103,103,569,569,0.181,0.181,,,,,,,,
2019,010384,ALL,80,80,639,639,0.1251,0.1251,,,,,,,,
2019,010388,ALL,467,467,1400,1400,0.3335,0.3335,,,,,,,,
2019,010390,ALL,129,129,718,718,0.1796,0.1796,,,,,,,,
2019,010392,ALL,48,48,276,276,0.1739,0.1739,,,,,,,,
2019,010394,ALL,127,127,931,931,0.1364,0.1364,,,,,,,,
2019,010396,ALL,471,471,1139,1139,0.4135,0.4135,,,,,,,,
2019,010400,ALL,279,279,1118,1118,0.2495,0.2495,,,,,,,,
2019,010403,ALL,172,172,832,832,0.2067,0.2067,,,,,,,,
2019,010406,ALL,88,88,585,585,0.1504,0.1504,,,,,,,,
2019,020302,ALL,207,207,1190,1190,0.1739,0.1739,,,,,,,,
2019,020303,ALL,3,3,186,186,0.0161,0.0161,,,,,,,,
2019,020304,ALL,25,25,448,448,0.0558,0.0558,,,,,,,,
2019,020306,ALL,22,22,609,609,0.0361,0.0361,,,,,,,,
2019,020308,ALL,11,11,283,283,0.0388,0.0388,,,,,,,,
2019,020316,ALL,43,43,469,469,0.0916,0.0916,,,,,,,,
2019,020320,ALL,18,18,242,242,0.0743,0.0743,,,,,,,,
2019,020324,ALL,6,6,221,221,0.0271,0.0271,,,,,,,,
2019,020328,ALL,28,28,246,246,0.1138,0.1138,,,,,,,,
2019,020330,ALL,19,19,574,574,0.0331,0.0331,,,,,,,,
2019,020332,ALL,32,32,278,278,0.1151,0.1151,,,,,,,,
2019,030304,ALL,65,65,419,419,0.1551,0.1551,,,,,,,,
2019,030308,ALL,19,19,209,209,0.0909,0.0909,,,,,,,,
2019,030316,ALL,25,25,163,163,0.1533,0.1533,,,,,,,,
2019,030320,ALL,87,87,541,541,0.1608,0.1608,,,,,,,,
2019,040304,ALL,27,27,231,231,0.1168,0.1168,,,,,,,,
2019,040305,ALL,45,45,36,36,1.25,1.25,,,,,,,,
2019,040306,ALL,343,343,690,690,0.4971,0.4971,,,,,,,,
2019,040308,ALL,29,29,173,173,0.1676,0.1676,,,,,,,,
2019,040309,ALL,221,221,687,687,0.3216,0.3216,,,,,,,,
2019,040311,ALL,86,86,313,313,0.2747,0.2747,,,,,,,,010303/010LEA/NC-SEA
2019,040316,ALL,70,70,244,244,0.2868,0.2868,,,,,,,,
2019,040324,ALL,59,59,189,189,0.3121,0.3121,,,,,,,,
2019,040328,ALL,84,84,416,416,0.2019,0.2019,,,,,,,,
2019,040330,ALL,42,42,169,169,0.2485,0.2485,,,,,,,,
2019,050302,ALL,103,103,845,845,0.1218,0.1218,,,,,,,,
2019,050305,ALL,83,83,473,473,0.1754,0.1754,,,,,,,,
2019,050310,ALL,56,56,472,472,0.1186,0.1186,,,,,,,,
2019,050330,ALL,63,63,548,548,0.1149,0.1149,,,,,,,,
2019,050335,ALL,128,128,548,548,0.2335,0.2335,,,,,,,,
2019,060302,ALL,79,79,418,418,0.1889,0.1889,,,,,,,,
2019,060304,ALL,23,23,160,160,0.1437,0.1437,,,,,,,,
2019,060310,ALL,29,29,186,186,0.1559,0.1559,,,,,,,,
2019,060316,ALL,1,1,202,202,0.0049,0.0049,,,,,,,,
2019,060318,ALL,28,28,264,264,0.106,0.106,,,,,,,,
2019,060322,ALL,45,45,193,193,0.2331,0.2331,,,,,,,,
2019,060328,ALL,47,47,223,223,0.2107,0.2107,,,,,,,,
2019,060332,ALL,27,27,112,112,0.241,0.241,,,,,,,,
2019,060334,ALL,16,16,16,16,1,1,,,,,,,,
2019,060700,ALL,7,7,85,85,0.0823,0.0823,,,,,,,,
2019,060701,ALL,4,4,51,51,0.0784,0.0784,,,,,,,,
2019,070302,ALL,100,100,509,509,0.1964,0.1964,,,,,,,,
2019,070308,ALL,93,93,577,577,0.1611,0.1611,,,,,,,,
2019,070310,ALL,70,70,67,67,1.0447,1.0447,,,,,,,,
2019,070311,ALL,2,2,267,267,0.0074,0.0074,,,,,,,,
2019,070325,ALL,78,78,409,409,0.1907,0.1907,,,,,,,,
2019,070326,ALL,69,69,494,494,0.1396,0.1396,,,,,,,,
2019,070327,ALL,61,61,524,524,0.1164,0.1164,,,,,,,,
2019,070328,ALL,63,63,506,506,0.1245,0.1245,,,,,,,,
2019,070329,ALL,77,77,422,422,0.1824,0.1824,,,,,,,,
2019,070330,ALL,65,65,394,394,0.1649,0.1649,,,,,,,,
2019,070338,ALL,124,124,782,782,0.1585,0.1585,,,,,,,,
2019,070339,ALL,94,94,399,399,0.2355,0.2355,,,,,,,,
2019,070340,ALL,28,28,161,161,0.1739,0.1739,,,,,,,,
2019,070342,ALL,160,160,859,859,0.1862,0.1862,,,,,,,,
2019,080311,ALL,4,4,172,172,0.0232,0.0232,,,,,,,,
2019,080312,ALL,190,190,503,503,0.3777,0.3777,,,,,,,,
2019,080314,ALL,86,86,483,483,0.178,0.178,,,,,,,,
2019,080348,ALL,22,22,129,129,0.1705,0.1705,,,,,,,,
2019,080356,ALL,45,45,238,238,0.189,0.189,,,,,,,,
2019,080360,ALL,25,25,180,180,0.1388,0.1388,,,,,,,,
2019,080362,ALL,59,59,373,373,0.1581,0.1581,,,,,,,,
2019,090315,ALL,55,55,293,293,0.1877,0.1877,,,,,,,,
2019,090317,ALL,74,74,355,355,0.2084,0.2084,,,,,,,,
2019,090318,ALL,54,54,194,194,0.2783,0.2783,,,,,,,,
2019,090320,ALL,49,49,251,251,0.1952,0.1952,,,,,,,,
2019,090324,ALL,23,23,224,224,0.1026,0.1026,,,,,,,,
