x,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
2019.0,10.0,Alamance-Burlington Schools,6271.9,100.0,1016.85,76.0,1973.82,68.0,9262.57,104.0
2019.0,20.0,Alexander County Schools,7134.01,49.0,884.27,88.0,1713.21,88.0,9731.49,86.0
2019.0,30.0,Alleghany County Schools,8686.9,14.0,1284.77,35.0,2529.23,30.0,12500.9,13.0
2019.0,40.0,Anson County Schools,7942.8,29.0,1603.57,15.0,1946.92,69.0,11493.29,30.0
2019.0,50.0,Ashe County Schools,7857.67,32.0,1185.17,50.0,2145.42,55.0,11188.26,35.0
2019.0,60.0,Avery County Schools,8569.51,17.0,1152.25,54.0,2442.08,37.0,12163.84,17.0
2019.0,70.0,Beaufort County Schools,6765.14,68.0,1267.9,38.0,2652.19,25.0,10685.23,46.0
2019.0,80.0,Bertie County Schools,8927.02,11.0,1962.9,6.0,1339.88,109.0,12229.8,14.0
2019.0,90.0,Bladen County Schools,7815.84,33.0,1771.91,9.0,1569.64,97.0,11157.39,36.0
2019.0,100.0,Brunswick County Schools,6421.88,91.0,1069.32,67.0,2782.9,23.0,10274.1,57.0
2019.0,110.0,Buncombe County Schools,6320.58,96.0,1049.7,70.0,3143.23,13.0,10513.51,52.0
2019.0,111.0,Asheville City Schools,6558.25,79.0,886.19,87.0,5949.48,2.0,13393.92,11.0
2019.0,120.0,Burke County Schools,6828.3,66.0,1094.27,61.0,1610.16,95.0,9532.73,91.0
2019.0,130.0,Cabarrus County Schools,5981.62,113.0,620.03,110.0,2244.71,49.0,8846.36,112.0
2019.0,132.0,Kannapolis City Schools,6515.83,81.0,1177.3,51.0,2311.06,45.0,10004.19,71.0
2019.0,140.0,Caldwell County Schools,6919.93,58.0,951.82,83.0,2011.4,67.0,9883.15,76.0
2019.0,150.0,Camden County Schools,7935.95,30.0,453.78,116.0,1734.83,84.0,10124.56,64.0
2019.0,160.0,Carteret County Schools,6400.3,92.0,872.59,91.0,3111.61,15.0,10384.5,56.0
2019.0,170.0,Caswell County Schools,8312.39,20.0,1271.93,37.0,1650.66,93.0,11234.98,33.0
2019.0,180.0,Catawba County Schools,6200.82,105.0,983.43,79.0,1931.91,72.0,9116.16,108.0
2019.0,181.0,Hickory City Schools,6456.32,86.0,1015.99,77.0,1851.31,78.0,9323.62,102.0
2019.0,182.0,Newton-Conover City Schools,6651.39,76.0,1023.72,73.0,2097.39,58.0,9772.5,81.0
2019.0,190.0,Chatham County Schools,6445.85,88.0,743.68,105.0,3688.11,7.0,10877.64,41.0
2019.0,200.0,Cherokee County Schools,7922.13,31.0,1222.39,45.0,2825.45,21.0,11969.97,19.0
2019.0,210.0,Edenton-Chowan County Schools,8198.27,23.0,1092.86,63.0,2287.32,47.0,11578.45,27.0
2019.0,220.0,Clay County Schools,8915.66,12.0,883.11,89.0,1584.16,96.0,11382.93,31.0
2019.0,230.0,Cleveland County Schools,6834.05,65.0,1116.57,58.0,1933.93,70.0,9884.55,75.0
2019.0,240.0,Columbus County Schools,7528.11,35.0,1468.22,22.0,1209.47,112.0,10205.8,59.0
2019.0,241.0,Whiteville City Schools,7965.35,28.0,1778.0,8.0,1092.63,113.0,10835.98,43.0
2019.0,250.0,Craven County Schools,6384.41,93.0,1136.55,55.0,2351.6,41.0,9872.56,78.0
2019.0,260.0,Cumberland County Schools,6320.97,95.0,1249.15,39.0,1932.94,71.0,9503.06,94.0
2019.0,270.0,Currituck County Schools,6613.97,77.0,612.53,111.0,2894.86,18.0,10121.36,66.0
2019.0,280.0,Dare County Schools,6551.43,80.0,601.21,112.0,4846.1,3.0,11998.74,18.0
2019.0,290.0,Davidson County Schools,6367.68,94.0,674.66,108.0,1524.15,101.0,8566.49,114.0
2019.0,291.0,Lexington City Schools,7058.15,52.0,1515.01,20.0,2364.7,40.0,10937.86,39.0
2019.0,292.0,Thomasville City Schools,6882.38,61.0,2039.6,5.0,2813.8,22.0,11735.78,25.0
2019.0,295.0,Innovative School District,6964.11,56.0,875.09,90.0,63.19,116.0,7902.39,116.0
2019.0,300.0,Davie County Schools,6302.0,98.0,760.59,101.0,2346.69,44.0,9409.28,97.0
2019.0,310.0,Duplin County Schools,7463.48,38.0,1219.7,46.0,1485.1,104.0,10168.28,62.0
2019.0,320.0,Durham County Schools,6506.06,82.0,1227.83,43.0,4017.01,6.0,11750.9,23.0
2019.0,330.0,Edgecombe County Schools,7495.98,37.0,1657.9,12.0,1446.07,106.0,10599.95,49.0
2019.0,340.0,Forsyth County Schools,6267.17,101.0,1053.54,68.0,2553.79,29.0,9874.5,77.0
2019.0,350.0,Franklin County Schools,6798.46,67.0,870.09,92.0,2101.29,57.0,9769.84,82.0
2019.0,360.0,Gaston County Schools,6228.71,102.0,1045.8,71.0,1925.53,73.0,9200.04,106.0
2019.0,370.0,Gates County Schools,8695.46,13.0,833.71,95.0,2349.15,42.0,11878.32,21.0
2019.0,380.0,Graham County Schools,9410.39,8.0,1586.41,17.0,2494.12,35.0,13490.92,10.0
2019.0,390.0,Granville County Schools,7073.95,51.0,788.56,99.0,2120.91,56.0,9983.42,72.0
2019.0,400.0,Greene County Schools,8522.51,18.0,1389.12,26.0,820.17,115.0,10731.8,45.0
2019.0,410.0,Guilford County Schools,6195.33,106.0,1084.61,65.0,2844.01,19.0,10123.95,65.0
2019.0,420.0,Halifax County Schools,9478.23,7.0,2813.7,1.0,2591.02,28.0,14882.95,7.0
2019.0,421.0,Roanoke Rapids City Schools,6973.96,55.0,928.68,85.0,1847.58,79.0,9750.22,84.0
2019.0,422.0,Weldon City Schools,10349.88,6.0,2065.07,4.0,3240.37,11.0,15655.32,2.0
2019.0,430.0,Harnett County Schools,6436.63,89.0,960.55,81.0,1509.99,102.0,8907.17,111.0
2019.0,440.0,Haywood County Schools,6456.71,85.0,1120.85,56.0,2494.2,34.0,10071.76,69.0
2019.0,450.0,Henderson County Schools,6221.8,104.0,938.01,84.0,2382.98,39.0,9542.79,90.0
2019.0,460.0,Hertford County Schools,8617.82,15.0,1654.9,13.0,1685.17,90.0,11957.89,20.0
2019.0,470.0,Hoke County Schools,7413.46,40.0,1192.47,49.0,916.74,114.0,9522.67,92.0
2019.0,480.0,Hyde County Schools,14142.65,1.0,1842.11,7.0,3424.69,10.0,19409.45,1.0
2019.0,490.0,Iredell-Statesville Schools,6047.82,110.0,745.8,104.0,2038.96,66.0,8832.58,113.0
2019.0,491.0,Mooresville City Schools,5830.69,116.0,595.03,113.0,2911.03,17.0,9336.75,101.0
2019.0,500.0,Jackson County Schools,7057.09,53.0,1100.53,59.0,2494.53,33.0,10652.15,48.0
2019.0,510.0,Johnston County Schools,6301.17,99.0,688.04,107.0,2049.77,65.0,9038.98,110.0
2019.0,520.0,Jones County Schools,11069.01,3.0,1611.44,14.0,2233.83,51.0,14914.28,6.0
2019.0,530.0,Lee County Schools,6317.87,97.0,969.97,80.0,2056.07,63.0,9343.91,100.0
2019.0,540.0,Lenoir County Schools,6913.8,59.0,1433.31,23.0,1433.9,107.0,9781.01,80.0
2019.0,550.0,Lincoln County Schools,6147.06,107.0,733.88,106.0,1652.4,92.0,8533.34,115.0
2019.0,560.0,Macon County Schools,6870.68,63.0,991.45,78.0,2237.43,50.0,10099.56,67.0
2019.0,570.0,Madison County Schools,8311.15,21.0,1091.25,64.0,1713.97,87.0,11116.37,38.0
2019.0,580.0,Martin County Schools,8316.34,19.0,1431.37,24.0,2467.86,36.0,12215.57,15.0
2019.0,590.0,McDowell County Schools,7199.22,46.0,1248.47,40.0,1731.69,85.0,10179.38,60.0
2019.0,600.0,Charlotte-Mecklenburg County Schools,5965.45,114.0,811.78,97.0,2728.73,24.0,9505.96,93.0
2019.0,610.0,Mitchell County Schools,8612.36,16.0,1019.8,75.0,1563.0,98.0,11195.16,34.0
2019.0,620.0,Montgomery County Schools,7450.42,39.0,1337.43,32.0,2079.18,60.0,10867.03,42.0
2019.0,630.0,Moore County Schools,6142.15,108.0,816.4,96.0,2516.17,32.0,9474.72,95.0
2019.0,640.0,Nash-Rocky Mount Schools,6695.42,75.0,1159.33,52.0,1736.48,83.0,9591.23,88.0
2019.0,650.0,New Hanover County Schools,6226.2,103.0,910.01,86.0,3520.34,9.0,10656.55,47.0
2019.0,660.0,Northampton County Schools,10722.84,4.0,2094.7,3.0,2517.67,31.0,15335.21,3.0
2019.0,670.0,Onslow County Schools,6013.74,111.0,849.71,94.0,2178.86,53.0,9042.31,109.0
2019.0,680.0,Orange County Schools,6453.69,87.0,656.41,109.0,4427.72,5.0,11537.82,29.0
2019.0,681.0,Chapel-Hill/Carrboro City Schools,6130.51,109.0,464.77,115.0,6345.45,1.0,12940.73,12.0
2019.0,690.0,Pamlico County Schools,9022.65,10.0,1222.53,44.0,4712.09,4.0,14957.27,5.0
